l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
164711,3687,175,6,33.00,52492.44,0.03,0.07,A,F,1992-06-12,1992-06-25,1992-07-03,NONE,TRUCK,ccounts hinder
178340,4460,228,1,37.00,50485.02,0.03,0.04,R,F,1994-11-03,1994-12-14,1994-11-28,DELIVER IN PERSON,RAIL, beans. carefully even accoun
178340,5835,24,2,31.00,53965.73,0.01,0.05,A,F,1995-01-16,1994-11-09,1995-01-22,COLLECT COD,MAIL,ffily. blithely final 
178340,3033,289,3,20.00,18720.60,0.10,0.02,A,F,1994-10-17,1994-12-04,1994-11-07,COLLECT COD,AIR, ironic instructions. quickly regular
178340,4838,221,4,46.00,80170.18,0.00,0.03,R,F,1994-11-08,1994-11-19,1994-12-05,DELIVER IN PERSON,MAIL,onic dinos. regular requests haggle whith
10563,4424,192,1,12.00,15941.04,0.06,0.01,R,F,1994-01-04,1993-11-14,1994-02-01,DELIVER IN PERSON,SHIP,y ironic instructions above the blith
10563,4107,208,2,35.00,35388.50,0.10,0.06,R,F,1993-11-15,1993-12-21,1993-12-09,COLLECT COD,RAIL,eodolites. i
10563,5998,281,3,46.00,87583.54,0.05,0.00,A,F,1993-11-11,1993-11-05,1993-11-18,COLLECT COD,MAIL,pending dep
10563,3323,24,4,46.00,56410.72,0.07,0.07,R,F,1994-01-10,1993-11-02,1994-01-17,DELIVER IN PERSON,RAIL,e regular accounts. slyly special packag
20257,4061,38,1,36.00,34742.16,0.05,0.07,N,O,1996-05-18,1996-05-21,1996-05-26,TAKE BACK RETURN,AIR, ideas are. pending requ
20257,2770,23,2,27.00,45164.79,0.10,0.02,N,O,1996-03-13,1996-04-10,1996-04-05,COLLECT COD,RAIL,"ress requests boost slyly stealthy, pendi"
20257,4036,101,3,48.00,45121.44,0.10,0.00,N,O,1996-05-15,1996-05-11,1996-05-23,TAKE BACK RETURN,FOB,ts. carefully final packages boos
20257,638,193,4,1.00,1538.63,0.03,0.03,N,O,1996-03-31,1996-05-22,1996-04-05,TAKE BACK RETURN,RAIL,e slyly final d
20257,5783,272,5,21.00,35464.38,0.08,0.01,N,O,1996-03-21,1996-04-21,1996-04-06,NONE,REG AIR,xpress pinto beans sleep silentl
29408,5357,258,1,40.00,50494.00,0.02,0.08,R,F,1993-08-21,1993-07-26,1993-09-10,COLLECT COD,RAIL,s sleep sl
29408,1171,206,2,16.00,17154.72,0.03,0.07,A,F,1993-08-21,1993-07-16,1993-09-14,TAKE BACK RETURN,SHIP,ing packages. blithely even requests a
29408,954,133,3,15.00,27824.25,0.02,0.02,A,F,1993-08-26,1993-06-22,1993-09-07,DELIVER IN PERSON,FOB,ecial courts about the fluffily regular a
29408,280,56,4,44.00,51932.32,0.03,0.03,R,F,1993-06-14,1993-07-04,1993-06-30,COLLECT COD,TRUCK,tructions nag regularly final pa
31653,5657,144,1,46.00,71881.90,0.09,0.01,A,F,1993-09-11,1993-07-27,1993-09-26,NONE,SHIP, final req
31653,651,283,2,15.00,23274.75,0.06,0.00,R,F,1993-09-18,1993-07-13,1993-10-18,TAKE BACK RETURN,REG AIR, ironic pinto beans. carefully even r
31653,285,61,3,12.00,14223.36,0.08,0.08,R,F,1993-07-08,1993-09-03,1993-07-30,NONE,REG AIR,yly after the unusu
31653,1021,278,4,33.00,30426.66,0.01,0.04,R,F,1993-08-12,1993-07-14,1993-08-24,DELIVER IN PERSON,MAIL,"e. pending, iron"
31653,3882,157,5,6.00,10715.28,0.02,0.00,R,F,1993-06-07,1993-07-10,1993-06-17,COLLECT COD,RAIL,silent depo
38276,5337,30,1,37.00,45966.21,0.06,0.02,N,O,1996-05-22,1996-05-13,1996-06-13,DELIVER IN PERSON,SHIP, blithe packages wake furiously. qu
38276,1300,259,2,10.00,12013.00,0.05,0.03,N,O,1996-05-29,1996-06-02,1996-05-30,NONE,FOB,deposits nag slyly against
38276,1422,2,3,36.00,47643.12,0.02,0.07,N,O,1996-05-16,1996-05-14,1996-05-19,DELIVER IN PERSON,TRUCK,s wake. furiously even requests r
38276,3860,222,4,7.00,12347.02,0.00,0.01,N,O,1996-03-26,1996-06-11,1996-04-19,TAKE BACK RETURN,TRUCK,es eat near the deposits. carefull
38276,1845,46,5,45.00,78607.80,0.06,0.07,N,O,1996-04-06,1996-05-29,1996-04-26,TAKE BACK RETURN,FOB, of the sl
43879,749,81,1,17.00,28045.58,0.00,0.03,R,F,1993-09-28,1993-11-04,1993-10-16,COLLECT COD,SHIP,e blithely ironic requests 
43879,2596,197,2,37.00,55447.83,0.10,0.07,A,F,1993-09-16,1993-11-06,1993-10-09,TAKE BACK RETURN,RAIL,r platelets haggle sile
52263,5818,213,1,27.00,46542.87,0.03,0.06,A,F,1994-05-24,1994-06-14,1994-06-08,TAKE BACK RETURN,TRUCK,cross the slyly ironic instructions pri
53283,4519,20,1,48.00,68328.48,0.06,0.01,N,O,1995-12-28,1996-01-12,1996-01-18,DELIVER IN PERSON,SHIP,usly. furiously bold deposit
53283,3363,236,2,7.00,8864.52,0.00,0.01,N,O,1995-11-18,1996-01-22,1995-11-26,NONE,REG AIR, furiously furiously iro
53283,3689,51,3,27.00,43002.36,0.01,0.01,N,O,1995-11-14,1996-01-09,1995-11-21,NONE,MAIL,ld instructions 
53283,1433,92,4,50.00,66721.50,0.09,0.02,N,O,1995-11-28,1996-01-05,1995-12-04,NONE,REG AIR, quickly ironic instructions wake f
74055,1804,248,1,34.00,57997.20,0.00,0.08,R,F,1992-07-25,1992-06-10,1992-08-16,DELIVER IN PERSON,SHIP,. fluffily regular asymptotes sleep f
74055,1397,277,2,8.00,10387.12,0.09,0.07,A,F,1992-07-20,1992-05-19,1992-07-28,DELIVER IN PERSON,AIR," after the packages. regular, ironic accou"
74055,4310,111,3,35.00,42500.85,0.07,0.06,A,F,1992-05-27,1992-06-14,1992-06-18,NONE,TRUCK,packages nag carefully ab
74055,4229,208,4,50.00,56661.00,0.07,0.03,R,F,1992-07-15,1992-07-05,1992-07-17,DELIVER IN PERSON,MAIL,bout the evenly unusual packages; th
74055,3437,138,5,42.00,56298.06,0.10,0.08,A,F,1992-07-23,1992-07-08,1992-08-09,DELIVER IN PERSON,SHIP,"yly regular packages. special, ironic"
76292,2186,87,1,22.00,23939.96,0.07,0.03,N,O,1996-03-10,1996-02-29,1996-03-29,TAKE BACK RETURN,FOB,its. pending requests
76292,5973,256,2,21.00,39458.37,0.05,0.07,N,O,1996-02-17,1996-03-07,1996-03-04,COLLECT COD,AIR,ctions. quickly regular 
76292,3738,100,3,26.00,42684.98,0.01,0.00,N,O,1996-01-28,1996-01-24,1996-02-16,TAKE BACK RETURN,REG AIR,urts sublate. ironic package
76292,1292,30,4,4.00,4773.16,0.10,0.06,N,O,1996-01-11,1996-02-24,1996-02-09,TAKE BACK RETURN,SHIP,equests poach car
76292,4607,198,5,1.00,1511.60,0.07,0.08,N,O,1995-12-28,1996-01-29,1996-01-04,COLLECT COD,FOB,ironic excuses poach quick
76292,3779,141,6,13.00,21876.01,0.06,0.04,N,O,1996-01-22,1996-03-03,1996-01-31,DELIVER IN PERSON,TRUCK,riously express pinto b
76292,596,73,7,37.00,55373.83,0.04,0.01,N,O,1996-01-22,1996-02-01,1996-02-16,TAKE BACK RETURN,AIR,es: ironic p
78080,5498,78,1,43.00,60350.07,0.01,0.00,A,F,1995-05-18,1995-04-11,1995-05-29,COLLECT COD,FOB,ges kindle carefully final instruc
78080,3180,181,2,5.00,5415.90,0.09,0.03,R,F,1995-06-04,1995-05-04,1995-06-07,NONE,FOB,ze fluffily fluffily final excuses. ironic 
78080,28,254,3,14.00,12992.28,0.09,0.03,R,F,1995-05-05,1995-04-14,1995-06-01,TAKE BACK RETURN,MAIL,the accounts nod quickly slyly reg
78080,5416,110,4,29.00,38320.89,0.09,0.04,R,F,1995-04-25,1995-05-02,1995-05-10,DELIVER IN PERSON,REG AIR,g the even d
86947,5869,264,1,29.00,51470.94,0.08,0.06,N,O,1995-09-01,1995-09-24,1995-09-04,COLLECT COD,RAIL,rding to the quickly
88128,2417,18,1,37.00,48818.17,0.02,0.04,A,F,1992-07-13,1992-07-24,1992-08-07,NONE,FOB,ate blithely furious
90019,4262,30,1,24.00,27990.24,0.08,0.03,R,F,1994-02-23,1993-12-26,1994-03-05,COLLECT COD,AIR,ake carefully across th
90019,3220,221,2,22.00,24710.84,0.02,0.00,R,F,1994-01-09,1993-12-14,1994-01-26,DELIVER IN PERSON,FOB,y ironic ideas after the requests hagg
90019,587,288,3,6.00,8925.48,0.00,0.02,A,F,1993-11-16,1993-12-03,1993-12-11,COLLECT COD,TRUCK,ggle blithely across t
90019,5554,134,4,17.00,24812.35,0.00,0.01,R,F,1993-11-26,1993-12-03,1993-12-23,TAKE BACK RETURN,RAIL, should use 
100064,5140,41,1,46.00,48076.44,0.01,0.08,N,O,1996-06-10,1996-07-02,1996-06-27,DELIVER IN PERSON,REG AIR,ully-- accounts 
106243,5365,150,1,19.00,24136.84,0.09,0.08,A,F,1992-11-25,1992-11-13,1992-12-15,NONE,FOB,"al, unusual deposits. silent, idle for"
106243,3081,82,2,14.00,13777.12,0.08,0.05,A,F,1992-12-14,1992-10-18,1993-01-04,TAKE BACK RETURN,FOB,ites. blithely bold
106243,2398,299,3,36.00,46814.04,0.10,0.01,A,F,1992-10-29,1992-10-08,1992-11-14,DELIVER IN PERSON,AIR,ickly regular deposits. carefully regular
106243,1697,58,4,14.00,22381.66,0.08,0.08,A,F,1992-11-20,1992-10-12,1992-12-03,NONE,RAIL, quickly un
106243,804,136,5,28.00,47734.40,0.03,0.06,R,F,1992-10-11,1992-11-09,1992-11-02,NONE,RAIL,the never special instructions. qui
107683,2041,185,1,24.00,22632.96,0.03,0.00,N,O,1996-06-28,1996-08-14,1996-07-15,NONE,MAIL,aves are am
109122,3040,296,1,8.00,7544.32,0.07,0.08,A,F,1994-12-30,1994-10-21,1995-01-16,DELIVER IN PERSON,RAIL,old foxes s
109122,3130,131,2,47.00,48557.11,0.02,0.02,R,F,1994-10-11,1994-10-05,1994-10-28,DELIVER IN PERSON,MAIL,. ruthlessly final accounts boost fl
109122,717,272,3,39.00,63090.69,0.01,0.06,A,F,1994-09-24,1994-11-18,1994-10-14,COLLECT COD,FOB,ly bold pains integrate fluffi
109122,679,157,4,1.00,1579.67,0.04,0.04,R,F,1994-11-02,1994-10-27,1994-11-25,COLLECT COD,TRUCK,xpress deposits alongside of t
109122,2703,256,5,41.00,65833.70,0.03,0.00,R,F,1994-11-04,1994-11-19,1994-11-10,DELIVER IN PERSON,REG AIR,e the furiously final account
109122,2812,65,6,24.00,41155.44,0.04,0.07,R,F,1994-09-09,1994-11-22,1994-10-01,DELIVER IN PERSON,REG AIR,er the carefully even deposits. 
109122,4356,35,7,33.00,41591.55,0.08,0.06,R,F,1994-09-16,1994-11-08,1994-10-05,COLLECT COD,RAIL,ing requests cajole care
112964,4943,26,1,10.00,18479.40,0.06,0.05,R,F,1992-06-05,1992-06-30,1992-07-02,COLLECT COD,TRUCK,warthogs sleep carefu
112964,2953,206,2,14.00,25983.30,0.04,0.03,R,F,1992-09-17,1992-07-01,1992-09-22,DELIVER IN PERSON,TRUCK,ven asymptotes. 
112964,4370,260,3,48.00,61169.76,0.07,0.05,R,F,1992-08-04,1992-08-01,1992-08-05,NONE,SHIP,old accounts about
120160,4296,186,1,45.00,54013.05,0.04,0.00,N,O,1995-08-08,1995-06-04,1995-08-14,COLLECT COD,SHIP,ring dinos maintain b
120160,4467,57,2,17.00,23314.82,0.03,0.00,N,O,1995-06-22,1995-05-27,1995-06-30,COLLECT COD,REG AIR,s. slyly final dug
120160,2219,120,3,48.00,53818.08,0.10,0.07,N,O,1995-07-19,1995-06-21,1995-08-12,NONE,FOB,ng to the b
120160,2285,268,4,18.00,21371.04,0.06,0.06,A,F,1995-04-13,1995-06-25,1995-04-15,TAKE BACK RETURN,SHIP, bold requests. carefully qui
120160,5396,297,5,21.00,27329.19,0.07,0.04,N,O,1995-07-27,1995-06-03,1995-08-26,NONE,RAIL,n excuses along
