o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
67,5662,O,167270.36,1996-12-19,4-NOT SPECIFIED,"Clerk#000000547",0," furiously ironic foxes play across the even, si"
68,2855,O,305815.83,1998-04-18,3-MEDIUM,"Clerk#000000440",0,ess packages. ironically final accounts nag. special instructions haggle acc
69,8449,F,228015.94,1994-06-04,4-NOT SPECIFIED,"Clerk#000000330",0,ions haggle carefully about the quickly bold theodolites-- furiously final f
70,6434,F,133507.10,1993-12-18,5-LOW,"Clerk#000000322",0,ly ironic deposits mainta
71,338,O,244449.86,1998-01-24,4-NOT SPECIFIED,"Clerk#000000271",0,uffily quiet instructions! unusual request
96,10778,F,72504.36,1994-04-17,2-HIGH,"Clerk#000000395",0,excuses boost boldly 
97,2107,F,128590.11,1993-01-29,3-MEDIUM,"Clerk#000000547",0,structions. doggedly even dependencies are along the furiously busy hock
98,10448,F,62956.90,1994-09-25,1-URGENT,"Clerk#000000448",0,s x-ray slyly. blithely regular deposits detect slyly unusua
99,8891,F,136624.34,1994-03-13,4-NOT SPECIFIED,"Clerk#000000973",0,against the bold pinto beans are bli
100,14701,O,204408.59,1998-02-28,4-NOT SPECIFIED,"Clerk#000000577",0,phins against the blithely regular requests 
101,2800,O,142434.13,1996-03-17,3-MEDIUM,"Clerk#000000419",0,e slyly after the packages. carefully express
102,73,O,172239.95,1997-05-09,2-HIGH,"Clerk#000000596",0,ld deposits. carefully special deposits along the requests boost carefully iro
103,2911,O,147675.81,1996-06-20,4-NOT SPECIFIED,"Clerk#000000090",0,fully unusual foxes. deposits wake slyly among the furiously
128,7396,F,57495.50,1992-06-15,1-URGENT,"Clerk#000000385",0,uriously unusual attainments sleep. furiously even attainments sublate slyly a
129,7114,F,273469.52,1992-11-19,5-LOW,"Clerk#000000859",0,r theodolites. regular platelets believe furiously bold foxes. final the
130,3697,F,169065.69,1992-05-08,2-HIGH,"Clerk#000000036",0,riously final theodolites sleep carefully ironic instruc
131,9275,F,143898.91,1994-06-08,3-MEDIUM,"Clerk#000000625",0, place of the ironic accounts are even packa
132,2641,F,180897.80,1993-06-11,3-MEDIUM,"Clerk#000000488",0,"posits. bold pains wake quickly regular requests. unusual, quick ideas be"
133,4400,O,120535.39,1997-11-29,1-URGENT,"Clerk#000000738",0,yly even requests. car
134,620,F,203218.79,1992-05-01,4-NOT SPECIFIED,"Clerk#000000711",0,r platelets. account
135,6049,O,280793.15,1995-10-21,4-NOT SPECIFIED,"Clerk#000000804",0,y pending forges detect bli
160,8251,O,114252.21,1996-12-19,4-NOT SPECIFIED,"Clerk#000000342",0, express instructions thrash regular re
161,1663,F,22632.04,1994-08-31,2-HIGH,"Clerk#000000322",0,ely even courts after the pinto bea
162,1412,O,3658.13,1995-05-08,3-MEDIUM,"Clerk#000000378",0,excuses haggle. carefully final requests cajole furiously furiousl
163,8776,O,172394.12,1997-09-05,3-MEDIUM,"Clerk#000000379",0,s wake furiously. excuses use carefully carefully re
164,79,F,315228.81,1992-10-21,5-LOW,"Clerk#000000209",0,ests. quickly final accounts engage according to the special theodolites. spec
165,2725,F,204566.92,1993-01-30,4-NOT SPECIFIED,"Clerk#000000292",0,uriously carefully regular warhorses. unus
166,10783,O,152280.99,1995-09-12,2-HIGH,"Clerk#000000440",0,uses sleep quickly furiously even gi
167,11941,F,53697.73,1993-01-04,4-NOT SPECIFIED,"Clerk#000000731",0, carefully above the express packages. brav
192,8257,O,151014.95,1997-11-25,5-LOW,"Clerk#000000483",0,ic decoys. final platelets wake slyly. furiously final platele
193,7907,F,60599.97,1993-08-08,1-URGENT,"Clerk#000000025",0,p furiously alongside o
194,6173,F,169409.25,1992-04-05,3-MEDIUM,"Clerk#000000352",0,"fter the regular requests. express instructions above the ironic, ir"
195,13543,F,169343.52,1993-12-28,3-MEDIUM,"Clerk#000000216",0,ly express pinto beans. regular requests s
196,6484,F,55238.37,1993-03-17,2-HIGH,"Clerk#000000988",0,es. pending theodolites hinder quickly
197,3253,P,162567.01,1995-04-07,2-HIGH,"Clerk#000000969",0,he final accounts. sometimes unusual deposits about the carefully final re
198,11023,O,167234.32,1998-01-02,4-NOT SPECIFIED,"Clerk#000000331",0,y theodolites cajole. blithely special packages haggle furi
199,5297,O,93001.13,1996-03-07,2-HIGH,"Clerk#000000489",0,lyly express frets. blithely 
224,248,F,232428.88,1994-06-18,4-NOT SPECIFIED,"Clerk#000000642",0,sly bold pinto beans. unusual deposi
225,3304,P,229717.70,1995-05-25,1-URGENT,"Clerk#000000177",0,. blithely regular requests sleep furiously across the slyly 
226,12748,F,255602.24,1993-03-10,2-HIGH,"Clerk#000000756",0,y silent requests. fluffily even deposits 
227,989,O,59478.59,1995-11-10,5-LOW,"Clerk#000000919",0,wake blithely alongside of the flu
228,4408,F,3803.63,1993-02-25,1-URGENT,"Clerk#000000562",0,final accounts impress ironically slow theodolites. blithely pend
229,11173,F,217643.52,1993-12-29,1-URGENT,"Clerk#000000628",0, foxes. quickly pending theodolites sleep 
230,10255,F,176248.58,1993-10-27,1-URGENT,"Clerk#000000520",0,ely special accounts according
231,9082,F,212400.50,1994-09-29,2-HIGH,"Clerk#000000446",0,ly carefully regular deposits. carefully even packages at 
256,12484,F,185998.58,1993-10-19,4-NOT SPECIFIED,"Clerk#000000834",0,foxes affix ironically fluffily final requests. carefully sil
257,12271,O,10429.67,1998-03-28,3-MEDIUM,"Clerk#000000680",0,uriously pending deposits! regular foxes sleep aft
258,4187,F,244576.64,1993-12-29,1-URGENT,"Clerk#000000167",0,yly unusual excuses use carefully. carefully ruthless epitaphs aro
259,4319,F,102311.15,1993-09-29,4-NOT SPECIFIED,"Clerk#000000601",0,blithely final packages. quickly even accounts detect quickly. slyly ironic fo
260,10474,O,242001.54,1996-12-10,3-MEDIUM,"Clerk#000000960",0,final packages. accounts snooze alongside of the f
261,4609,F,271008.54,1993-06-29,3-MEDIUM,"Clerk#000000310",0,cajole along the slyly even theodolites. f
262,3037,O,134127.81,1995-11-25,4-NOT SPECIFIED,"Clerk#000000551",0,ate fluffily under the quickly regular ideas. qui
263,11608,F,99162.08,1994-05-17,2-HIGH,"Clerk#000000088",0,olites sleep ironic instructions. 
288,710,O,234087.71,1997-02-21,1-URGENT,"Clerk#000000109",0,"nts wake. even, pending pinto beans boost quic"
289,10375,O,218685.70,1997-02-10,3-MEDIUM,"Clerk#000000103",0,ld multipliers cajole furi
290,11797,F,90265.69,1994-01-01,4-NOT SPECIFIED,"Clerk#000000735",0,s use slyly alongside of the f
291,14105,F,81679.04,1994-03-13,1-URGENT,"Clerk#000000923",0,jole carefully. finally final packages above
292,2227,F,51571.37,1992-01-13,2-HIGH,"Clerk#000000193",0,haggle blithely according to the i
293,2993,F,62804.27,1992-10-02,2-HIGH,"Clerk#000000629",0, wake. blithely regular requests enga
294,5050,F,58485.82,1993-07-16,3-MEDIUM,"Clerk#000000499",0,s use above the even packages. furiously even accounts wa
295,1900,F,112253.57,1994-09-29,2-HIGH,"Clerk#000000155",0,"s promise idly ironic, special requests. carefu"
320,31,O,52957.12,1997-11-21,2-HIGH,"Clerk#000000573",0,ts haggle even excuse
321,12260,F,59593.91,1993-03-21,3-MEDIUM,"Clerk#000000289",0,". packages sleep furiously above the slyly stealthy requests. pending,"
322,13355,F,161012.25,1992-03-19,1-URGENT,"Clerk#000000158",0, the furiously final deposits use never pending foxes. slyly even deposits c
323,3914,F,99307.09,1994-03-26,1-URGENT,"Clerk#000000959",0,endencies cajole blithely deposits. foxes unwind across the
324,10516,F,45618.44,1992-03-20,1-URGENT,"Clerk#000000352",0,y after the carefully final accounts. ironic instructions alongside 
325,4003,F,127006.18,1993-10-17,5-LOW,"Clerk#000000844",0,ptotes hinder across th
326,7600,O,346777.54,1995-06-04,2-HIGH,"Clerk#000000466",0,etect fluffily. carefully express theodolites above the closely even gifts 
327,14461,P,29089.13,1995-04-17,5-LOW,"Clerk#000000992",0, slyly across the blithely final ideas. fluffily eve
352,10646,F,21304.57,1994-03-08,2-HIGH,"Clerk#000000932",0,detect above the quickly ironic theodolites. pending accounts dazzle
353,178,F,278475.49,1993-12-31,5-LOW,"Clerk#000000449",0,"ar, regular attainments are carefully furiously express deposits"
354,13828,O,223943.70,1996-03-14,2-HIGH,"Clerk#000000511",0,"al, express packages cajole furiously besides the carefully final package"
355,7001,F,98378.94,1994-06-14,5-LOW,"Clerk#000000532",0,ly regular theodolites. blithely ironic requests could have to ha
356,14681,F,250722.11,1994-06-30,4-NOT SPECIFIED,"Clerk#000000944",0, slyly final pinto beans. special packa
357,6040,O,129581.13,1996-10-09,2-HIGH,"Clerk#000000301",0,lithely special packages. quickly express instructio
358,229,F,306323.97,1993-09-20,2-HIGH,"Clerk#000000392",0,n excuses. special requests sleep. silent dolphins
359,7760,F,202575.81,1994-12-19,3-MEDIUM,"Clerk#000000934",0,bout the blithely final accounts detect slyly dependencies. deposi
384,11302,F,161989.84,1992-03-03,5-LOW,"Clerk#000000206",0,"deposits wake slyly above the bold dolphins. special, ev"
385,3295,O,65722.70,1996-03-22,5-LOW,"Clerk#000000600",0,"excuses are slyly express, fina"
386,6011,F,101834.97,1995-01-25,2-HIGH,"Clerk#000000648",0,ackages. courts are unusual deposits. bold requests serve quickly along the qu
387,331,O,188762.47,1997-01-26,4-NOT SPECIFIED,"Clerk#000000768",0,even platelets cajole slyly. ironic ideas affix furiously pending de
388,4468,F,173814.86,1992-12-16,4-NOT SPECIFIED,"Clerk#000000356",0,ly regular pinto beans boost carefully special pearls. carefully e
389,12698,F,3365.05,1994-02-17,2-HIGH,"Clerk#000000062",0, ironic packages detect carefully. fluffily even pinto beans thrash slyly 
390,10258,O,210240.53,1998-04-07,5-LOW,"Clerk#000000404",0,r pinto beans. final instructions boost across the the
391,11029,F,13919.37,1994-11-17,2-HIGH,"Clerk#000000256",0,eas after the regula
416,4013,F,84198.04,1993-09-27,5-LOW,"Clerk#000000294",0,. deposits haggle along the slyly
417,5459,F,157942.93,1994-02-06,3-MEDIUM,"Clerk#000000468",0,are slyly. deposits boost above the blithely bold excuses. deposits cajole fu
418,9484,P,61395.27,1995-04-13,4-NOT SPECIFIED,"Clerk#000000643",0,symptotes engage accounts.
419,11627,O,152793.49,1996-10-01,3-MEDIUM,"Clerk#000000376",0, wake carefully after the fluffily ironic accounts.
420,9016,O,277327.02,1995-10-31,4-NOT SPECIFIED,"Clerk#000000756",0,"y above the pinto beans. blithely ironic foxes wake furiously ironic, ironic d"
421,3916,F,1279.60,1992-02-22,5-LOW,"Clerk#000000405",0,"ular accounts could was about the bold, bold asy"
422,7309,O,125084.48,1997-05-31,4-NOT SPECIFIED,"Clerk#000000049",0,aggle about the slyly regular accounts. slyly express ideas doub
423,10340,O,28812.51,1996-06-01,1-URGENT,"Clerk#000000674",0,y bold theodolites wake blithely. slyly ironic deposits alongside
448,14965,O,162228.14,1995-08-21,3-MEDIUM,"Clerk#000000597",0,ly bold excuses. packages after the slowly
449,9577,O,60868.34,1995-07-20,2-HIGH,"Clerk#000000841",0,ly above the slowly ironic packages. furiously 
450,4738,P,188570.99,1995-03-05,4-NOT SPECIFIED,"Clerk#000000293",0,never blithely ironic theodolites: special depe
451,9877,O,160015.96,1998-05-25,5-LOW,"Clerk#000000048",0,furiously silent excuses wake carefully along 
452,5956,O,2720.10,1997-10-14,1-URGENT,"Clerk#000000498",0,"es. courts poach sometimes. thin, express packages a"
453,4403,O,314206.52,1997-05-26,5-LOW,"Clerk#000000504",0,n multipliers run according to the carefully even pack
454,4879,O,38092.04,1995-12-27,5-LOW,"Clerk#000000890",0,"en, bold dependencies are final packages. blithely special ideas"
455,1210,O,223641.88,1996-12-04,1-URGENT,"Clerk#000000796",0,poach. slyly final frays cajole. pac
480,7139,F,24132.00,1993-05-08,5-LOW,"Clerk#000000004",0,deposits about the blithely final realms use thinly alongside of the slyly fi
481,3037,F,153009.96,1992-10-08,2-HIGH,"Clerk#000000230",0,y regular platelets alongside of the ide
482,12506,O,214299.90,1996-03-26,1-URGENT,"Clerk#000000295",0,silent warthogs. furiously ir
483,3482,O,69215.18,1995-07-11,2-HIGH,"Clerk#000000025",0, haggle furiously at the in
484,5425,O,276934.84,1997-01-03,3-MEDIUM,"Clerk#000000545",0, boost carefully against the regular deposits. express frays impress s
485,10057,O,192700.38,1997-03-26,2-HIGH,"Clerk#000000105",0,uickly final deposits haggle closely 
486,5087,O,278058.68,1996-03-11,4-NOT SPECIFIED,"Clerk#000000803",0,ironic excuses according to the furiou
487,10783,F,53799.13,1992-08-18,1-URGENT,"Clerk#000000086",0,sits wake alongside of the slyly 
512,6304,P,183822.33,1995-05-20,5-LOW,"Clerk#000000814",0," are bold, express deposits. ironic deposits doze across the quic"
513,6058,O,68337.51,1995-05-01,2-HIGH,"Clerk#000000522",0,"luffy packages affix. ironic, ironic requests haggle against th"
514,7489,O,162738.65,1996-04-04,2-HIGH,"Clerk#000000094",0," furiously ruthless dugouts. slow, regular accounts sublate against the ac"
515,14183,F,223616.47,1993-08-29,4-NOT SPECIFIED,"Clerk#000000700",0,instructions wake carefully regular hockey players. slyly specia
516,4391,O,16166.40,1998-04-21,2-HIGH,"Clerk#000000305",0, the deposits. regular packages wake about the tithes. ironic requests wake b
517,922,O,108403.73,1997-04-07,5-LOW,"Clerk#000000359",0,tect fluffily among the slyly pending packages. foxes 
518,14440,O,282939.65,1998-02-08,2-HIGH,"Clerk#000000768",0,lithely regular packages haggle stealthily slyly close de
519,6296,O,144552.35,1997-10-31,1-URGENT,"Clerk#000000985",0,ckages sleep furiously according 
544,9340,F,80752.87,1993-02-17,2-HIGH,"Clerk#000000145",0,lyly along the ironic requests. blithely spe
545,6316,O,24186.22,1995-11-07,2-HIGH,"Clerk#000000537",0,oss the furiously ironic ideas. carefully 
546,14323,O,20531.43,1996-11-01,2-HIGH,"Clerk#000000041",0,nts boost evenly. furiously ironic packages nag
547,9821,O,122705.35,1996-06-22,3-MEDIUM,"Clerk#000000976",0, bold deposits sublate quickly express ac
548,12383,F,124272.32,1994-09-21,1-URGENT,"Clerk#000000435",0,uld haggle. quickly spe
549,10993,F,201227.92,1992-07-13,1-URGENT,"Clerk#000000196",0,the blithely specia
550,2353,O,28838.34,1995-08-02,1-URGENT,"Clerk#000000204",0, are furiously slyly 
551,8962,O,64262.80,1995-05-30,1-URGENT,"Clerk#000000179",0,ns sublate blithely from t
576,2953,O,28020.36,1997-05-13,3-MEDIUM,"Clerk#000000955",0,ly bold requests are carefully fluffily even dep
577,5513,F,51724.56,1994-12-19,5-LOW,"Clerk#000000154",0,gular ideas are furiously.
578,9259,O,100526.07,1997-01-10,5-LOW,"Clerk#000000281",0, deposits cajole slyly regular accounts. blithely iro
579,6706,O,167438.70,1998-03-11,2-HIGH,"Clerk#000000862",0,ages. furiously bold requests haggle s
580,5923,O,113089.52,1997-07-05,2-HIGH,"Clerk#000000314",0,s are ironic theodolites. acco
581,6874,O,148501.65,1997-02-23,4-NOT SPECIFIED,"Clerk#000000239",0, slyly final requests. furiously final waters cajole
582,4936,O,149490.56,1997-10-21,1-URGENT,"Clerk#000000378",0,dependencies after th
583,4714,O,203792.05,1997-03-19,3-MEDIUM,"Clerk#000000792",0,"unusual, pending platelets"
608,2597,O,88282.43,1996-02-28,3-MEDIUM,"Clerk#000000995",0,t the fluffily unusual asymptotes
609,12514,F,31883.07,1994-06-01,3-MEDIUM,"Clerk#000000348",0,deas serve slyly. slyly even pains 
610,5068,O,242750.41,1995-08-02,1-URGENT,"Clerk#000000610",0,excuses boost. ironic pinto b
611,10550,F,130896.98,1993-01-27,1-URGENT,"Clerk#000000401",0,ckly bold theodolites. bl
612,8143,F,228500.69,1992-10-21,3-MEDIUM,"Clerk#000000759",0,ccounts. enticingly unusual dependencies haggle slyly. furiously 
613,13826,O,42516.57,1995-06-18,2-HIGH,"Clerk#000000172",0,"ts. unusual, ironic pinto beans promise blithely ex"
614,13330,F,313889.87,1992-12-01,2-HIGH,"Clerk#000000388",0,gle. fluffily ironic deposits s
615,6541,F,44682.98,1992-05-09,5-LOW,"Clerk#000000388",0,s pinto beans sleep ruthlessly final deposits. slyly special idea
640,9514,F,179803.40,1993-01-23,2-HIGH,"Clerk#000000433",0,ages nag among the deposits. fluffily unusual instructions shall ha
641,13282,F,156659.06,1993-08-30,5-LOW,"Clerk#000000175",0,ar accounts. carefully furious deposits are slyly 
642,3991,F,30570.00,1993-12-16,3-MEDIUM,"Clerk#000000357",0,regular asymptotes. ironic accounts boost alon
643,5779,P,237640.34,1995-03-25,2-HIGH,"Clerk#000000354",0,ts along the carefully even asymp
644,737,F,256603.55,1992-05-01,1-URGENT,"Clerk#000000550",0,se blithely. bold attainments affix furiously even notornis. blithely bo
645,11423,F,387438.84,1994-12-03,2-HIGH,"Clerk#000000090",0,"es. ironic, regular requests haggle agains"
646,5042,F,243207.08,1994-11-22,2-HIGH,"Clerk#000000203",0,ions believe across the bl
647,14293,O,84136.16,1997-08-07,1-URGENT,"Clerk#000000270",0, affix carefully special excuses. instructions haggle blithel
672,10810,F,103482.15,1994-04-14,5-LOW,"Clerk#000000106",0,esias wake along the furiously special requ
673,7915,F,20831.90,1994-03-10,1-URGENT,"Clerk#000000448",0,its boost. regular ideas according to the silently bold
674,3313,F,31500.19,1992-08-29,5-LOW,"Clerk#000000448",0," print final accounts. unusual courts wake according to the final, even depo"
675,1171,O,190098.19,1997-07-31,2-HIGH,"Clerk#000000168",0,s. slyly final accounts a
676,3793,O,215864.33,1996-12-13,2-HIGH,"Clerk#000000248",0,uffily according to the slyly expres
677,12388,F,236736.28,1993-11-24,3-MEDIUM,"Clerk#000000824",0, carefully silent requests integrate carefully ab
678,13066,F,202827.26,1993-02-27,5-LOW,"Clerk#000000530",0,arthogs! quickly final deposits 
679,4850,O,8969.44,1995-12-15,2-HIGH,"Clerk#000000853",0,e furiously alongside of the slyly even packages. blithely ironic dependencies
704,8437,O,94588.22,1996-11-21,3-MEDIUM,"Clerk#000000682",0,c depths sleep furiously according to the quickly pending de
705,4271,O,131389.65,1997-02-13,4-NOT SPECIFIED,"Clerk#000000294",0,"structions wake ironic, final theodolites. furiously ironic accounts shal"
706,14737,O,34581.12,1995-09-09,1-URGENT,"Clerk#000000448",0,y express instructions! quic
707,11615,F,74972.09,1994-11-20,3-MEDIUM,"Clerk#000000199",0," ideas. special, regular ideas boost carefully. req"
708,3154,O,123013.15,1998-07-03,3-MEDIUM,"Clerk#000000101",0,heodolites boost slyl
709,3604,O,114765.14,1998-04-21,1-URGENT,"Clerk#000000461",0,nto beans. furiously final accounts cajole pe
710,13114,F,291854.17,1993-01-02,5-LOW,"Clerk#000000026",0,ously dogged foxes. final requests cajole. ir
711,6368,F,134400.67,1993-09-23,4-NOT SPECIFIED,"Clerk#000000856",0,p. ironic attainments haggle always 
736,4636,O,215364.25,1998-06-21,5-LOW,"Clerk#000000881",0,sts. regular ideas wake
737,11968,F,13200.83,1992-04-26,5-LOW,"Clerk#000000233",0,y ironic excuses need to cajole fluffily across the blithely enticing 
738,2077,F,164365.13,1993-03-02,4-NOT SPECIFIED,"Clerk#000000669",0,s. requests play between the enticing attainments; 
739,31,O,227813.21,1998-05-31,5-LOW,"Clerk#000000900",0,s. even foxes are slyly. bold accounts haggle. iron
740,4342,O,119961.04,1995-07-16,3-MEDIUM,"Clerk#000000583",0,"lyly even packages. close, bold courts about th"
741,10450,O,59280.31,1998-07-07,2-HIGH,"Clerk#000000295",0,otes sleep quickly along the furiously regular r
742,10285,F,214857.36,1994-12-23,5-LOW,"Clerk#000000543",0,thely even accounts. slyly bold deposits use always around the fu
743,7834,O,23030.03,1996-10-04,4-NOT SPECIFIED,"Clerk#000000933",0,y pending requests sleep carefully quickly regular accounts. 
768,9706,O,326729.96,1996-08-20,3-MEDIUM,"Clerk#000000411",0,s deposits nag furiously. furiously regular
769,7999,F,58773.02,1993-06-02,3-MEDIUM,"Clerk#000000172",0,ptotes. blithely express packages boost furiously special instructio
770,3191,O,65517.31,1998-05-23,5-LOW,"Clerk#000000572",0,thely bold ideas do boost slyly pending instructions
771,4456,O,129970.61,1995-06-17,1-URGENT,"Clerk#000000105",0,ly regular deposits nag slyly. final foxes wake ca
772,9650,F,174797.19,1993-04-17,2-HIGH,"Clerk#000000430",0,es haggle furiously unusual platelets. ironic requests 
773,13184,F,205812.10,1993-09-26,3-MEDIUM,"Clerk#000000307",0,gouts boost fluffily. fluffily pending requests play alongside of the fur
774,7960,O,200524.52,1995-12-04,1-URGENT,"Clerk#000000883",0,are above the blithel
775,13318,F,78323.86,1995-03-18,1-URGENT,"Clerk#000000191",0,"e special, ironic excuses! silent deposits among the furiously"
800,5594,O,109101.18,1998-07-14,2-HIGH,"Clerk#000000213",0,eas thrash blithely at the carefully pending accounts. furiously final r
801,11779,F,167816.47,1992-02-18,1-URGENT,"Clerk#000000186",0,unts according to the boldly regular pain
802,13669,F,175169.80,1995-01-05,1-URGENT,"Clerk#000000516",0,ly final accounts cajole. blithely regular accounts s
803,1438,O,45979.61,1997-04-29,5-LOW,"Clerk#000000260",0,ake furiously according to the bravely special tithes. blithely dogged foxes
804,4997,F,144008.70,1993-03-12,3-MEDIUM,"Clerk#000000931",0,leep blithely enticing theodolites; blithely
805,12601,O,141117.61,1995-07-05,4-NOT SPECIFIED,"Clerk#000000856",0,. regular packages wake idly
806,13075,O,44192.73,1996-06-20,2-HIGH,"Clerk#000000240",0,"ng, regular instructions after the ironi"
807,14353,F,273698.57,1993-11-24,3-MEDIUM,"Clerk#000000012",0,ic deposits. theodolites sleep deposits. quickl
832,2893,F,94567.98,1992-04-19,5-LOW,"Clerk#000000495",0, dependencies sleep slyly carefully regular pinto beans. furiou
833,5524,F,52232.65,1994-02-13,3-MEDIUM,"Clerk#000000437",0,posits. ideas use blithely slyly 
834,4276,F,63717.81,1994-05-23,3-MEDIUM,"Clerk#000000805",0,kages mold carefully. quickly pending packages boost slyly regular depo
835,6476,O,87984.15,1995-10-08,4-NOT SPECIFIED,"Clerk#000000416",0,"lar asymptotes. ironic, stealthy requests across the blithel"
836,6880,O,78683.93,1996-11-25,4-NOT SPECIFIED,"Clerk#000000729",0,y quickly final packages. even requests about the finally final foxes sle
837,11585,F,100137.79,1994-06-15,4-NOT SPECIFIED,"Clerk#000000563",0,old accounts cajole above the silent accounts. d
838,1634,O,122899.72,1998-01-29,5-LOW,"Clerk#000000213",0,thely ironic instructions. e
839,2789,O,111131.43,1995-08-08,1-URGENT,"Clerk#000000951",0," blithely ironic dolphins maintain regular, regula"
864,13774,O,137145.20,1997-08-17,1-URGENT,"Clerk#000000036",0,"regular pinto beans are carefully. regular, express pinto beans are car"
865,254,F,112573.90,1993-05-04,3-MEDIUM,"Clerk#000000337",0,packages hang slyly blithely ironic excuses-- carefully ironic instructions 
866,3830,F,6829.02,1992-11-28,3-MEDIUM,"Clerk#000000718",0,oost slyly about the silent courts. sauternes
867,2513,F,12898.71,1993-11-16,3-MEDIUM,"Clerk#000000877",0,y foxes sleep enticingly 
868,10351,F,172970.32,1992-06-09,4-NOT SPECIFIED,"Clerk#000000782",0,s. evenly even sheaves boost furiously. quickly 
869,13462,O,83237.16,1997-01-12,2-HIGH,"Clerk#000000245",0,platelets for the quickly even notornis sleep fluffily regular platelets. 
870,3220,F,74571.04,1993-06-20,4-NOT SPECIFIED,"Clerk#000000123",0,slyly bold requests breach regula
871,1444,O,257451.16,1995-11-15,5-LOW,"Clerk#000000882",0,ly. blithely special foxes 
896,166,F,269504.12,1993-03-09,1-URGENT,"Clerk#000000187",0,sly ironic packages wake regular decoys. regular deposits use along the q
897,4894,P,66775.72,1995-03-20,1-URGENT,"Clerk#000000316",0,symptotes cajole again
898,5359,F,135974.74,1993-06-03,2-HIGH,"Clerk#000000611",0,as haggle finally about the carefully sly fr
899,10849,O,195560.26,1998-04-08,5-LOW,"Clerk#000000575",0,ackages alongside of the quickly regula
900,4582,F,175768.16,1994-10-01,4-NOT SPECIFIED,"Clerk#000000060",0,t accounts. slyly regular theodolites m
901,1126,O,103456.72,1998-07-21,4-NOT SPECIFIED,"Clerk#000000929",0,"ions. special, special packages sleep furiously final accounts. fluffily "
902,853,F,50444.77,1994-07-27,4-NOT SPECIFIED,"Clerk#000000811",0,t along the blithely regular packages. speci
903,1088,O,187990.87,1995-07-07,4-NOT SPECIFIED,"Clerk#000000793",0,riously final packages. qu
928,6563,F,293271.21,1995-03-02,5-LOW,"Clerk#000000450",0,odolites are quickly pending
929,8267,F,155606.44,1992-10-02,2-HIGH,"Clerk#000000160",0,riously after the slyly regular ideas. furiously ironic instructions affix bey
930,13096,F,292644.56,1994-12-17,1-URGENT,"Clerk#000000004",0,ests sleep alongside of the carefully express accounts. i
931,10289,F,169004.98,1992-12-07,1-URGENT,"Clerk#000000881",0,"es. regular, final requests print around the fluffily special d"
932,4033,O,54611.34,1997-05-16,2-HIGH,"Clerk#000000218",0,"kages impress carefully bold, pending asymp"
933,9535,F,115599.17,1992-08-05,4-NOT SPECIFIED,"Clerk#000000752",0,dependencies cajole carefully regular requests. blithely final accounts s
934,5131,O,28772.83,1996-07-03,1-URGENT,"Clerk#000000229",0,nt pinto beans cajole slyly blithely careful fre
935,4918,O,142762.69,1997-09-24,5-LOW,"Clerk#000000180",0, detect. slyly even requests haggle quickly along the
960,3463,F,88166.37,1994-09-21,3-MEDIUM,"Clerk#000000120",0,the carefully final reques
